Ano;Espécie;Mês de Data;Número de registros
2015;Arma de Fabricação Caseira;abril;14
2015;Arma de Fabricação Caseira;março;7
2015;Arma de Fabricação Caseira;fevereiro;9
2015;Arma de Fabricação Caseira;janeiro;4
2016;Submetralhadora;dezembro;5
2016;Submetralhadora;novembro;3
2016;Submetralhadora;outubro;4
2016;Submetralhadora;setembro;6
2016;Submetralhadora;agosto;1
2016;Submetralhadora;julho;7
2016;Submetralhadora;junho;5
2016;Submetralhadora;maio;5
2016;Submetralhadora;abril;4
2016;Submetralhadora;março;4
2016;Submetralhadora;fevereiro;5
2016;Submetralhadora;janeiro;9
2016;Revólver;dezembro;313
2016;Revólver;novembro;291
2016;Revólver;outubro;281
2016;Revólver;setembro;262
2016;Revólver;agosto;296
2016;Revólver;julho;281
2016;Revólver;junho;319
2016;Revólver;maio;307
2016;Revólver;abril;347
2016;Revólver;março;321
2016;Revólver;fevereiro;319
2016;Revólver;janeiro;276
2016;Pistola;dezembro;346
2016;Pistola;novembro;320
2016;Pistola;outubro;285
2016;Pistola;setembro;292
2016;Pistola;agosto;266
2016;Pistola;julho;311
2016;Pistola;junho;295
2016;Pistola;maio;373
2016;Pistola;abril;321
2016;Pistola;março;406
2016;Pistola;fevereiro;308
2016;Pistola;janeiro;312
2016;Outros;dezembro;4
2016;Outros;novembro;11
2016;Outros;outubro;7
2016;Outros;setembro;3
2016;Outros;agosto;4
2016;Outros;julho;6
2016;Outros;junho;8
2016;Outros;maio;7
2016;Outros;abril;8
2016;Outros;março;11
2016;Outros;fevereiro;7
2016;Outros;janeiro;2
2016;Metralhadora;dezembro;2
2016;Metralhadora;novembro;5
2016;Metralhadora;agosto;1
2016;Metralhadora;julho;1
2016;Metralhadora;maio;3
2016;Metralhadora;abril;1
2016;Metralhadora;março;4
2016;Metralhadora;fevereiro;3
2016;Metralhadora;janeiro;3
2016;Garruchão;outubro;2
2016;Garruchão;setembro;1
2016;Garruchão;julho;1
2016;Garrucha;dezembro;12
2016;Garrucha;novembro;8
2016;Garrucha;outubro;6
2016;Garrucha;setembro;10
2016;Garrucha;agosto;7
2016;Garrucha;julho;7
2016;Garrucha;junho;11
2016;Garrucha;maio;4
2016;Garrucha;abril;12
2016;Garrucha;março;12
2016;Garrucha;fevereiro;13
2016;Garrucha;janeiro;9
2016;Fuzil;dezembro;43
2016;Fuzil;novembro;51
2016;Fuzil;outubro;43
2016;Fuzil;setembro;36
2016;Fuzil;agosto;30
2016;Fuzil;julho;22
2016;Fuzil;junho;29
2016;Fuzil;maio;24
2016;Fuzil;abril;17
2016;Fuzil;março;24
2016;Fuzil;fevereiro;24
2016;Fuzil;janeiro;28
2016;Espingarda;dezembro;64
2016;Espingarda;novembro;48
2016;Espingarda;outubro;70
2016;Espingarda;setembro;58
2016;Espingarda;agosto;39
2016;Espingarda;julho;54
2016;Espingarda;junho;61
2016;Espingarda;maio;64
2016;Espingarda;abril;60
2016;Espingarda;março;63
